Turn,Attacker,Target,Damage,Player HP,Monster HP,Monster Name,Gold,EXP,Fragment,Hp Target
1,Goblin,Player,13,87,100,Goblin,50,20,5,87
2,Player,Goblin,13,87,87,Goblin,50,20,5,87
3,Goblin,Player,15,72,87,Goblin,50,20,5,72
4,Player,Goblin,16,72,71,Goblin,50,20,5,71
5,Goblin,Player,8,64,71,Goblin,50,20,5,64
6,Player,Goblin,19,64,52,Goblin,50,20,5,52
7,Goblin,Player,13,51,52,Goblin,50,20,5,51
8,Player,Goblin,18,51,34,Goblin,50,20,5,34
9,Goblin,Player,14,37,34,Goblin,50,20,5,37
10,Player,Goblin,13,37,21,Goblin,50,20,5,21
11,Goblin,Player,9,28,21,Goblin,50,20,5,28
12,Player,Goblin,11,28,10,Goblin,50,20,5,10
13,Goblin,Player,15,13,10,Goblin,50,20,5,13
14,Player,Goblin,20,13,0,Goblin,50,20,5,0
